werk_signatur_id,werk_signatur
3c190bce-22f6-4bbd-9f4b-24d42c77a8d1,1914-003
96a88316-ef26-4faa-b001-651c1f218538,1891-003
908795f4-eb6e-4c49-880c-92718adfd1a4,1926-007
01d80933-e490-4e9a-8a71-7f796d6d365c,1888-003
70f9400e-bf4f-407c-b71d-45b15f67e595,1899-101
ae40031a-b549-4127-a955-01ab0e2bdc45,1908-009
e297e137-8df5-4ec1-bfcc-a45e54f401f9,1906-002
a4908c49-81c2-4c09-a2fa-ddb732d114ee,1914-009
e72c4fda-e8c2-4c01-8e92-c1a7403d6539,1909-005
d241cc76-5a82-4857-ac73-a780211c8a3b,1888-029
2748d230-5b9f-4a6f-915d-0465e1bb60ab,1896-004
97ac4336-9d8a-410f-92c8-0a55b8eed906,1909-006
106e9f85-95dc-433f-9eaf-c12016fb787b,1912-011
c810a6f3-58e5-48f9-bfca-b904d9ccb86b,1915-009
176e7e74-8848-45ba-a556-0aa884a942ca,1911-019
f19d3d72-1452-40f2-a3e1-4974ef393efc,1910-013
41bd2e8b-2a35-4b7a-b510-a14e49492aa1,1924-007
4876b80c-de23-46e3-a422-87d05891aad2,1936-005
d0744757-291a-45fa-918e-1fea3ccf0de0,1931-003
28411018-c364-439b-b300-e0e2447ab270,1930-002
f4780738-feb8-4419-8a12-f13701599731,1936-002
7702f7fa-7b66-476d-9139-33b76cd58c93,1930-003
8ab244b1-d346-474a-8c7b-f8b545c2ea60,1934-002
556eae63-aa83-42ca-98f4-cc0b667fc18e,1932-004
22272342-bf02-440b-a7f5-c7123f54d826,1919-012
d9b53006-419b-40d4-85a2-79b546beec99,1930-011
fe275348-e16c-4744-b37b-e9c5a4907867,1934-001
e5f18fdf-0c0c-479a-80ef-5739fdb48e47,1921-006
62bb6ec2-b190-4994-9d2d-e83a71a261a5,1920-007
2bef1b99-05d0-4491-bb61-e1f6e33a27da,1939-003
98b6947f-6010-415f-a3a8-fecf56d0268d,1913-006
96b921a9-ca48-4863-8de4-96cb6ac749ad,1934-003
0b95b3dc-0ed0-4faa-bf57-57058fd02c99,1871-101
92e48900-8b5d-4e1b-8127-596b1d78dc8d,1876-151
12eb15b7-13f6-417c-aac7-20b76c4c9c99,1875-101
6177d83b-a17e-4e75-98b9-85cf47bc7b80,1877-001
72b6b6b1-e0c6-466e-89ce-f73511e742b8,1877-002
09760f68-eff0-4aa3-ad61-ad8fc93e1628,1878-001
8f6c69c9-0ef5-4246-a644-54327b71388c,1879-001
efed27f9-7f15-4390-908d-dc9aa5a76332,1880-191
cd788749-2d32-4806-a14f-76669d535f93,1880-192
0a6049d4-0001-457d-b44d-6aab8dad5a1b,1880-193
d0471ffd-8c16-4c0b-8161-f7917e0f4d84,1880-194
19236b79-c949-4b5f-af70-35a0e07c2961,1881-001
a2c63ac6-cfb2-4e64-8971-699219ffa528,1882-001
a8b53841-cbcc-4ae9-87c3-4b3cf5afe3be,1893-007
fd28f771-bfea-4bad-829c-e0da45dd42d2,1893-008
b4b5fdd3-e707-42ac-8650-636a2936c5ab,1895-131
84ad0310-22ce-4cce-a4a6-31d3b410fa6e,1895-132
c61a5b2e-45e3-4545-b199-417910476df9,1895-101
9c957b0e-19b7-4838-9c04-e04d43eee323,1895-121
9ecd31e0-6bd4-421b-bfc7-ee32b8940a02,1895-102
dca1528c-3638-499c-a121-bbc2df75f513,1895-103
c77a849d-6bf7-41d0-ba93-94a85d85083c,1895-104
fe79dc3e-e19b-406c-9f9b-45d0e33c6b2a,1895-105
e5de1f49-fd1e-4eb1-b143-a77ee67ff6fc,1895-001
f1846623-e47d-4ce0-af94-3eecce05339d,1895-002
efa03813-8633-4e51-8b73-64e113120932,1895-003
c0f43d0b-c5f8-45c7-9da9-4eac4c01c50a,1895-004
f2aaa947-a742-4815-8d55-cedc08d9fcf3,1895-005
1ec660bb-8570-4fd4-91f6-719369eacdb1,1895-006
04ec604f-caa0-426d-930f-3cfe5c13e583,1895-007
1f269cac-f0e7-470f-bb7a-1f3dc20ec84b,1895-008
00b361ff-881e-4035-8234-c7df75dd6b5d,1895-009
151ff218-de5c-41bb-980b-c1da4e63f7ae,1895-010
992dd70f-79d1-4ef7-aa71-da73d28fc2f3,1895-011
d1881e78-b626-4459-887e-7f2e65d81bef,1896-001
7f387d7b-6142-4a91-917a-13aaf570285c,1896-002
df82cb2c-1247-46fc-a547-d14ca8594160,1896-003
7d90a425-7717-4c6a-a325-f48732f3e710,1898-001
a7dddd6a-cd84-47d4-969d-64ddd7139146,1896-101
ba278d0d-0177-4134-ae81-67c558046f37,1896-131
a440128d-096e-4de5-9643-eeb08ed4e464,1896-132
f5d0db19-089c-4099-8c63-9153f64265e6,1897-101
dc96a163-928b-47aa-be13-97f06aa32bf8,1897-102
0a76ba75-1425-45ae-9258-c07884a40670,1897-103
16f26e22-6ba7-4730-9762-9fd463778b64,1897-104
90697449-917f-4a6f-9c4c-8b67a87f2913,1897-001
61f37c97-d2df-4c08-ab49-6375269eed80,1897-002
8b128989-b34b-4da1-9a3c-ca23f140c69f,1897-161
f72f2413-eb3f-499d-879e-58fc10b69d44,1898-002
ebf8c83a-b302-49ba-8aff-2c5faac51da7,1898-121
1fb05e0c-1338-4cea-aca3-8c254dfad459,1899-102
6410a346-f965-4d44-9687-45c2eb4838b6,1899-001
f456cf38-7cef-44e7-ad60-13c459619c5e,1899-121
7d23a454-abd7-4df2-96c2-d7e9dd92423f,1899-141
b41da125-761b-4ea7-af2b-86b3edaca24b,1898-1900
3baf5fcf-dc0a-4db6-ad25-21eb0244795c,1900-001
4e47b26e-9d15-4a00-9efd-871aa8b00451,1900-121
6c59c691-609e-4235-93e4-66b2d11d5763,1900-122
27c27950-f6ba-4855-858e-ee58c4bb5cf1,1901-001
bc8c561d-c024-40bf-a735-4c2e21be8126,1901-002
f5ed3df7-e259-45a1-af9c-0d6236b077cd,1901-003
27d62746-2abf-42ea-b839-3e49fa81872a,1901-101
5cbf269e-bd45-4cef-b5bd-1ec8537735f6,1901-121
10df9402-2a2c-4893-aea6-d92ab7726e43,1902-122
adfb4312-22df-459d-8a0b-bc1bcd88267f,1902-121
128d354c-a790-4d17-97f9-bf87338f41b8,1903-001
3e6fe000-6c06-44fe-b597-04d540c6fb0c,1892-101
cd85932d-4376-49e4-8c50-c4722201c976,1892-102
56e62c7d-fe56-4e14-b988-c33632593b3c,1892-103
408b7b8a-9513-4972-b31b-a111d262895f,1892-191
0ec1e454-ec97-4244-90fa-4a0851d65ff0,1892-121
5908ac55-5647-4d05-81b6-ba36df57b858,1892-001
9257bb1b-6a66-4aa1-93ed-c4ca66b652bb,1892-002
